Altium Designer Pick and Place Locations
C:\Users\Public\Documents\Altium\PCB_Project_1\Project Outputs for PCB_Project\Pick Place for EDR_PCB.csv

========================================================================================================================
File Design Information:

Date:       19/05/25
Time:       13:23
Revision:   12bdfad16ad5b26e9d18ee904b9c8042a98f513f
Variant:    No variations
Units used: mm

"Designator","Comment","Layer","Footprint","Center-X(mm)","Center-Y(mm)","Rotation","Description"
"C43","10uF","TopLayer","FP-GRM188-0_1-e0_2_0_55-IPC_A","40.4259","13.9700","180","Chip Multilayer Ceramic Capacitors for General Purpose, 0603, 10uF, X5R, 15%, 20%, 6.3V"
"P1","691321100002","TopLayer","691321100002","76.4540","84.8740","180",""
"J6","1604490000","TopLayer","SL_3_50_180G_04","14.0032","84.7090","0","OMNIMATE Signal - series BL/SL 3.50"
"J4","1604490000","TopLayer","SL_3_50_180G_04","47.8002","84.8360","0","OMNIMATE Signal - series BL/SL 3.50"
"TP3","5003","TopLayer","KSTN-5003","64.2874","66.5480","0","Test Point, Orange, Height 4.6 mm, Tail Length 3 mm, 1-Pin THD, RoHS"
"TP2","5003","TopLayer","KSTN-5003","52.2224","20.5486","0","Test Point, Orange, Height 4.6 mm, Tail Length 3 mm, 1-Pin THD, RoHS"
"TP1","5003","TopLayer","KSTN-5003","40.1066","2.7178","0","Test Point, Orange, Height 4.6 mm, Tail Length 3 mm, 1-Pin THD, RoHS"
"R26","56R","TopLayer","FP-CRCW0603-e3-IPC_C","50.1650","59.6900","0","RES Thick Film, 56O, 5%, 0.1W, 200ppm/°C, 0603"
"DS1","HSMG-C170","TopLayer","AVAG-HSMX-C170_V","55.0250","60.3250","180","Chip LED, Green, 2.2 V, -40 to 85 degC, 2-Pin SMD, Pb-Free, Tape and Reel"
"J5","1604490000","TopLayer","SL_3_50_180G_04","29.8683","84.7852","0","OMNIMATE Signal - series BL/SL 3.50"
"R12","3.3K","TopLayer","FP-CRCW0805-e3-IPC_B","43.2054","70.9930","180","RES Thick Film, 3.3kO, 1%, 0.125W, 100ppm/°C, 0805"
"Y1","ECS-200-20-28AX-TR","TopLayer","XTAL_ECS-200-20-28AX-TR","69.3975","58.6020","270","SMD Quartz Crystal"
"U12","ADS7853IPW","TopLayer","PW16_TEX","38.4382","33.3000","0","ADC, Proprietary Method, 14-Bit, 1 Func, 2 Channel, Serial Access, PDSO16"
"U11","OPA2836IDR","TopLayer","D0008A_M","10.7950","53.3400","0","Dual, Very Low Power, Rail to Rail Out, Negative Rail In, VFB Operational Amplifier, 2.5 to 5.5 V, -40 to 85 degC, 8-pin SOIC (D8), Green (RoHS & no Sb/Br)"
"U10","OPA2350UA/2K5","TopLayer","D0008A_M","26.0350","33.6550","90","High-Speed, Single-Supply, Rail-to-Rail Operational Amplifier MicroAmplifier(TM) Series, 2.7 to 5.5 V, -40 to 85 degC, 8-pin SOIC (D8), Green (RoHS & no Sb/Br)"
"U9","REF5045AID","TopLayer","D0008A_M","10.7950","34.2900","90","Low Noise, Very Low Drift, Precision Voltage Reference, -40 to 125 degC, 8-pin SOIC (D), Green (RoHS & no Sb/Br)"
